"Year" "Month" "AA" "CO" "DL" "HP" "NW" "TW" "UA" "US" "inorout"
2000 "Nov"  8.6  8.3  8.6 10.4  8.1  9.1  8.4  7.6 "in"
2000 "Oct"  8.5  8.0  8.4 11.2  8.2  8.5  8.5  7.8 "in"
2000 "Sep"  8.1  8.5  8.4 10.2  8.3  8.6  8.2  7.6 "in"
2000 "Aug"  8.9  9.1  9.2 14.5  9.0 10.3  9.2  8.7 "in"
2000 "Jul"  8.3  8.9  8.2 11.5  8.8  9.1  9.2  8.2 "in"
2000 "Jun"  8.8  9.0  8.8 14.9  8.4 10.8  8.9  8.3 "in"
2000 "May"  8.1  8.8  7.9  9.8  7.8  7.5  8.1  8.3 "in"
2000 "Apr"  8.7  8.6  8.1  9.8  8.6  8.1  8.5  9.5 "in"
2000 "Mar"  8.8  8.4  7.8  8.0  8.7  6.4  8.2  7.9 "in"
2000 "Feb"  8.7  8.9  7.6  9.3  8.5  6.9  8.2  7.5 "in"
2000 "Jan"  9.4  9.4  8.5  9.9  9.4  6.3  8.6  7.7 "in"
1999 "Dec"  8.6  8.7  7.8  9.3  8.1  6.0  7.8  7.1 "in"
1999 "Nov"  8.3  9.3  8.5 10.4  8.9  6.1  8.0  7.1 "in"
1999 "Oct"  7.9  9.4  8.1 10.8  9.3  5.9  8.0  7.2 "in"
1999 "Sep"  8.4  9.3  8.1 10.3  9.0  6.2  8.3  7.4 "in"
1999 "Aug"  8.9 10.0  9.0 10.9  8.8  6.5  9.1  8.1 "in"
1999 "Jul"  8.6 11.0  9.0 12.5  9.2  6.2  8.3  7.6 "in"
1999 "Jun"  8.8 10.6  8.4 10.3  9.0  6.0  7.9  7.5 "in"
1999 "May"  8.7  8.9  8.1  9.7  8.3  6.0  8.0  8.2 "in"
1999 "Apr"  8.4  8.8  8.4  9.9  8.1  6.0  8.5  7.6 "in"
1999 "Mar"  8.6  9.0  7.7  9.5  8.4  6.2  8.2  7.2 "in"
1999 "Feb"  8.9  8.9  7.7  9.1  8.4  6.2  8.2  7.5 "in"
1999 "Jan"  9.1 10.6  7.6 12.2  8.5  5.7  8.1  6.9 "in"
2000 "Nov" 22.7 25.3 21.8 23.0 19.7 21.8 23.9 19.4 "out"
2000 "Oct" 24.8 27.8 22.7 25.3 21.6 23.9 24.5 21.6 "out"
2000 "Sep" 26.4 30.8 25.1 27.9 22.4 27.1 27.1 23.7 "out"
2000 "Aug" 33.7 37.6 31.8 34.6 26.1 32.9 33.3 27.6 "out"
2000 "Jul" 29.3 33.4 26.5 27.6 23.2 28.9 30.6 23.1 "out"
2000 "Jun" 33.4 36.0 29.5 31.3 24.8 33.0 31.7 27.8 "out"
2000 "May" 26.4 30.8 25.5 29.8 22.8 31.1 28.0 22.7 "out"
2000 "Apr" 26.2 30.9 25.1 28.6 21.9 24.8 26.5 24.0 "out"
2000 "Mar" 24.2 27.0 23.0 24.3 21.4 21.6 23.9 21.1 "out"
2000 "Feb" 26.3 27.7 22.8 25.4 22.0 21.9 24.1 22.1 "out"
2000 "Jan" 26.3 28.7 22.6 26.0 21.2 21.6 24.4 20.8 "out"
1999 "Dec" 23.2 26.3 22.2 23.8 19.9 21.9 23.9 20.6 "out"
1999 "Nov" 22.9 27.9 22.4 25.5 21.3 22.6 24.0 21.4 "out"
1999 "Oct" 25.6 30.5 24.7 25.4 22.7 23.6 26.4 22.5 "out"
1999 "Sep" 26.6 30.6 24.9 30.3 23.0 23.3 26.7 24.3 "out"
1999 "Aug" 29.3 33.9 29.2 35.2 25.5 27.1 29.5 25.4 "out"
1999 "Jul" 35.2 40.4 31.4 38.6 31.9 33.5 33.9 30.1 "out"
1999 "Jun" 30.2 34.1 26.9 32.7 25.0 27.0 29.1 25.6 "out"
1999 "May" 29.7 34.7 26.7 32.5 24.5 26.0 30.4 25.9 "out"
1999 "Apr" 27.0 31.3 24.4 31.3 24.1 25.1 28.3 23.3 "out"
1999 "Mar" 24.0 28.6 21.8 26.1 21.8 20.5 23.7 20.4 "out"
1999 "Feb" 24.1 26.7 21.9 24.8 20.7 21.1 23.8 20.6 "out"
1999 "Jan" 24.8 29.5 22.2 27.4 21.4 24.0 23.7 20.2 "out"
