name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chicago,2016-01-01,-0.8,-6.8,-3.3,-5.9,-14.5,-9.9,-8.2,69.3,0.2,100,12.5,snow,0,4.9,50,27.9,250.7,1022.7,70.1,15.4,74.6,6.5,3,,2016-01-01T07:18:17,2016-01-01T16:29:46,0.72,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-02,0.5,-5.9,-2.1,-4.7,-10.4,-7.5,-7,69.3,0,0,0,,0,4.3,47.4,32.9,249.4,1018.6,17.5,16,103.4,9,5,,2016-01-02T07:18:22,2016-01-02T16:30:38,0.77,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-03,-1,-4.5,-2.4,-6.6,-9.9,-8,-7.7,67.2,0,0,0,,0,4,37.1,26.7,319.2,1021.4,72.6,16,87.7,7.7,4,,2016-01-03T07:18:25,2016-01-03T16:31:31,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-04,-0.4,-4,-2.1,-5.4,-9.5,-7.3,-8.1,63.8,0,0,0,,0,4,42.5,25.8,359.1,1031.6,81.1,15.5,81.8,7.2,4,,2016-01-04T07:18:26,2016-01-04T16:32:26,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-05,1,-6.8,-2.8,-4.1,-11.9,-7.8,-7.8,68.7,0,0,0,,0,4,37.1,23.5,183.8,1033.1,40.3,16,106.9,9.3,5,,2016-01-05T07:18:24,2016-01-05T16:33:22,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-06,3.2,-4.4,-0.1,0.2,-8.9,-4,-5.8,65.8,0,0,0,,0,3.8,,19.8,188.3,1025.9,84,16,79.8,6.9,4,,2016-01-06T07:18:20,2016-01-06T16:34:20,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-07,5.6,1.8,3.7,3.2,-1.3,0.9,-3.5,59.4,0.13,100,8.33,rain,0,2.6,,15.6,149.7,1019,99.7,16,74.2,6.4,3,,2016-01-07T07:18:14,2016-01-07T16:35:20,0.97,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-08,6.7,3.7,5.2,4.6,1.2,2.8,3,86.2,4.56,100,66.67,rain,0,0.5,,13.5,161.1,1009.3,99,7.8,26.9,2.2,2,,2016-01-08T07:18:05,2016-01-08T16:36:21,0.99,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-09,5.9,-2.3,2.6,3.5,-9.4,-0.8,1.1,90.1,6.95,100,58.33,"rain,snow",1.9,0.6,47.5,33.5,308.1,1009.2,98.4,4.9,40.5,3.6,2,,2016-01-09T07:17:54,2016-01-09T16:37:23,1,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-10,-3.6,-15.6,-9.9,-11.4,-25.9,-19,-14.2,70.7,0.31,100,16.67,snow,1.2,1.6,53.7,36.7,295.1,1015,71.5,15.6,114.7,9.9,5,,2016-01-10T07:17:41,2016-01-10T16:38:26,0,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-11,-3.7,-17.2,-11.5,-9.9,-26.4,-18.7,-15.5,72.4,1.94,100,25,snow,3.2,2,45.6,29.3,229.7,1016.6,65.2,10.9,67.7,5.9,4,,2016-01-11T07:17:25,2016-01-11T16:39:31,0.01,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-12,-5.5,-15.3,-11.4,-14.1,-24.5,-20.5,-17.1,62.6,2.49,100,25,snow,1.9,5.5,56.2,36.9,282.5,1016.2,42.5,12.8,82.3,7.2,3,,2016-01-12T07:17:07,2016-01-12T16:40:37,0.04,"Snow, Partially cloudy",Clearing in the afternoon with snow clearing later.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-13,-2.9,-17,-11,-7.6,-25,-17.7,-15.4,70.1,0,0,0,,0,4.6,31.7,21.9,218.1,1018.2,58.3,15.8,52.2,4.4,2,,2016-01-13T07:16:46,2016-01-13T16:41:43,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-14,6.7,-2.5,2.7,3.2,-8.3,-1.1,-1.9,71.6,0,0,0,,0,1.5,42.5,24.2,203.7,1005.1,57.9,16,104.4,9.1,5,,2016-01-14T07:16:24,2016-01-14T16:42:51,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-15,6,0.2,3.5,2.1,-5.5,-0.8,0.6,81.4,0.4,100,8.33,rain,0,0,44.6,27,248,998.4,86.7,13.4,26.8,2.3,2,,2016-01-15T07:15:59,2016-01-15T16:44:00,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-16,-0.4,-8.6,-2.7,-5.2,-16.8,-8.7,-8.6,63.8,0,0,0,,0,0,46.6,26.9,292.5,1011.6,63.8,15.9,93.7,7.9,4,,2016-01-16T07:15:32,2016-01-16T16:45:10,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-17,-11,-17.5,-15.2,-20,-27.9,-25.5,-22.2,55.2,0,0,0,,0,0,44.9,34.2,292.5,1020.6,46.9,15.9,110.6,9.3,5,,2016-01-17T07:15:02,2016-01-17T16:46:20,0.28,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-18,-13.2,-19.3,-16.2,-21.9,-30.3,-25.8,-23.1,55.9,0,0,0,,0,0,38.9,24.1,279.6,1027.9,11.8,16,115.1,9.8,5,,2016-01-18T07:14:31,2016-01-18T16:47:32,0.34,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-19,-8,-17,-12.3,-8.1,-25.4,-17.5,-19.6,55,0,0,0,,0.6,0.2,,19.8,255.6,1033,49.7,16,118.1,10.2,5,,2016-01-19T07:13:57,2016-01-19T16:48:44,0.39,Partially cloudy,Partly cloudy throughout the day.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-20,-4.7,-9.6,-7.5,-4.7,-13.2,-9.4,-11.8,71.5,1.3,100,25,snow,0.4,0.9,,10.1,263.1,1026.6,80,12.8,80.9,7.1,3,,2016-01-20T07:13:21,2016-01-20T16:49:57,0.43,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-21,-1.3,-9.6,-5.7,-1.3,-13.6,-7.5,-10.1,71.5,0,0,0,,0,0.4,,8.9,277.9,1028.5,70.9,14.8,101.5,8.9,5,,2016-01-21T07:12:43,2016-01-21T16:51:10,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-22,-0.8,-5.5,-2.6,-5.5,-10.2,-7.8,-7.3,70.8,1.14,100,29.17,"rain,snow",0,0,33.5,25.1,21.4,1025.4,91.5,11.8,61.8,5.4,3,,2016-01-22T07:12:03,2016-01-22T16:52:24,0.49,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2016-01-23,1.3,-3.9,-1.7,-0.6,-7.8,-5.1,-6.7,69.4,0.24,100,8.33,snow,0,0,,15.9,302.9,1022.8,78.3,15.6,118.9,10.3,5,,2016-01-23T07:11:20,2016-01-23T16:53:39,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
