screen_size,rear_camera_mp,front_camera_mp,ram,battery,weight,normalized_used_price
14.5,13.0,5.0,3.0,3020.0,146.0,4.307572449
17.3,13.0,16.0,8.0,4300.0,213.0,5.162096647
16.69,13.0,8.0,8.0,4200.0,213.0,5.111083765
25.5,13.0,8.0,6.0,7250.0,480.0,5.135386588
15.32,13.0,8.0,3.0,5000.0,185.0,4.389994804
16.23,13.0,8.0,4.0,4000.0,176.0,4.413888608
13.84,8.0,5.0,2.0,3020.0,144.0,3.878259375
15.77,13.0,8.0,4.0,3400.0,164.0,4.729421148
15.32,13.0,16.0,6.0,4000.0,165.0,4.886054204
16.23,13.0,8.0,6.0,4000.0,176.0,4.773223771
15.47,13.0,8.0,3.0,3020.0,150.0,4.26703657
15.32,13.0,8.0,4.0,5000.0,185.0,4.657383057
16.69,13.0,16.0,8.0,4100.0,206.0,5.383255763
15.32,13.0,16.0,4.0,4000.0,171.5,4.617592706
14.5,13.0,5.0,2.0,3020.0,146.0,4.111365547
16.23,13.0,8.0,4.0,4000.0,176.0,4.411221293
15.9,13.0,32.0,6.0,3750.0,172.0,5.022366217
16.74,13.0,16.0,4.0,4000.0,206.0,4.777020443
14.5,13.0,5.0,2.0,3020.0,146.0,4.248638089
25.43,5.0,2.0,3.0,5100.0,173.0,4.267877613
20.32,8.0,8.0,3.0,5100.0,173.0,4.556295018
20.32,8.0,0.3,1.0,5680.0,453.6,4.45213555
15.29,13.0,16.0,3.0,3850.0,170.0,4.560800238
12.88,13.0,13.0,4.0,3075.0,150.0,4.595624773
15.29,13.0,8.0,3.0,3300.0,160.0,4.426521875
15.24,13.0,14.5,6.0,3930.0,180.0,5.213467289
15.29,13.0,16.0,4.0,3850.0,170.0,4.636668853
15.37,10.5,16.0,6.0,4000.0,192.0,4.905496976
15.37,10.5,16.0,6.0,4000.0,182.0,4.820442843
15.32,10.5,16.0,4.0,4000.0,163.0,4.577901759
15.32,10.5,16.0,4.0,4000.0,163.0,4.872828107
20.32,5.0,2.0,2.0,5100.0,310.0,4.170533701
15.37,10.5,16.0,8.0,4000.0,189.0,4.709440107
25.5,8.0,8.0,4.0,7250.0,450.0,5.133088887
16.71,10.5,16.0,8.0,4200.0,226.0,6.153455837
16.23,10.5,8.0,4.0,4000.0,176.0,4.644390899
25.6,13.0,8.0,6.0,7250.0,460.0,5.18245748
16.23,10.5,8.0,4.0,4000.0,176.0,4.322143925
16.74,13.0,16.0,6.0,4000.0,206.0,5.065439086
15.34,13.0,16.0,8.0,4200.0,183.0,4.931375613
25.6,13.0,8.0,6.0,7250.0,460.0,4.997685135
15.9,13.0,32.0,6.0,4000.0,178.0,4.99653637
15.32,13.0,16.0,6.0,4000.0,163.0,4.537426534
16.23,13.0,8.0,4.0,4000.0,176.0,4.705286977
16.59,13.0,16.0,12.0,4500.0,198.0,5.674182005
16.81,13.0,16.0,6.0,4200.0,196.0,5.380450196
16.81,13.0,16.0,6.0,4200.0,196.0,5.014826499
15.9,13.0,32.0,6.0,4000.0,178.0,5.143474781
16.74,13.0,16.0,4.0,4000.0,163.5,4.839293241
25.6,13.0,8.0,4.0,7500.0,498.0,4.936629881
20.42,13.0,8.0,6.0,6100.0,340.0,5.294259143
20.42,13.0,8.0,4.0,6100.0,320.0,5.001190835
