Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,Cust_Id,Is_Good
Old,Female,Own,Single,Far,47500,0,High,6,247,0
Middle,Male,Rent,Single,Close,63600,0,High,6,127,1
Young,Female,Rent,Single,Close,13500,0,Low,18,479,0
Middle,Male,Own,Married,Close,85600,1,High,18,475,1
Middle,Female,Own,Single,Close,68400,0,High,12,151,1
Young,Male,Own,Married,Close,30400,0,Low,6,320,0
Middle,Female,Rent,Single,Close,48100,0,Medium,12,804,0
Middle,Male,Own,Single,Close,68400,0,High,18,790,0
Middle,Female,Own,Married,Close,51900,3,Low,6,43,0
Old,Male,Own,Married,Far,80700,0,,18,475,1
Young,Male,Rent,Married,Close,43700,1,,12,157,0
Middle,Male,Own,Married,Far,111800,3,High,18,1239,1
Middle,Female,Own,Married,Close,44100,1,Medium,24,562,0
Middle,Male,Own,Married,Close,111400,0,High,12,1259,1
Old,Female,Own,Married,Far,110000,0,High,24,477,1
Middle,Female,Own,Married,Far,83100,1,,12,808,1
Old,Female,Own,Married,Close,82800,0,High,24,160,1
Middle,Male,Own,Married,Close,90100,0,High,18,78,1
Middle,Male,Rent,Single,Close,38600,1,Low,18,666,0
Old,Female,Rent,Single,Far,14000,0,Low,12,1250,0
Young,Female,Rent,Single,Far,14300,2,Low,6,1154,0
Young,Male,Rent,Married,Close,49800,0,Medium,12,683,0
Old,Female,Rent,Married,Far,60200,0,High,18,1221,1
Young,Male,Rent,Married,Far,43500,1,Medium,12,949,0
Young,Female,Rent,Married,Close,41700,1,,6,661,0
Middle,Female,Own,Married,Close,92300,3,Low,18,1136,0
Middle,Male,Own,Single,Close,62800,3,,6,973,0
Middle,Female,Rent,Married,Far,72900,0,High,18,1240,1
Middle,Female,Rent,Married,Close,66900,2,Medium,12,1128,0
Young,Male,Rent,Single,Close,21700,1,,18,602,0
Old,Female,Rent,Married,Close,39700,0,Medium,12,232,0
Middle,Male,Rent,Married,Far,72200,1,High,12,1013,1
Middle,Female,Rent,Married,Close,87700,3,,24,266,1
Middle,Male,Own,Married,Close,104100,0,High,24,921,1
Middle,Male,Rent,Single,Far,67700,0,High,12,331,1
Middle,Female,Own,Single,Close,27000,2,Low,6,240,0
Middle,Female,Own,Single,Far,64100,2,High,24,498,1
Middle,Male,Rent,Single,Close,47000,1,Medium,12,745,0
Old,Female,Own,Married,Close,41600,0,,18,444,0
Old,Female,Rent,Single,Close,20100,0,Low,24,795,0
Middle,Male,Own,Single,Close,64000,3,Low,12,175,0
Middle,Female,Own,Married,Far,96800,3,,24,718,1
Middle,Male,Rent,Married,Close,76200,1,,24,586,1
Old,Female,Rent,Married,Far,81500,0,High,18,1010,1
Middle,Female,Own,Single,Close,49600,1,Medium,12,599,0
Old,Female,Own,Married,Close,111500,0,High,18,527,1
Middle,Male,Own,Married,Close,77700,0,,6,1168,0
Young,Male,Own,Married,Close,58900,0,,18,949,0
Middle,Male,Own,Married,Close,126500,2,High,18,220,1
Middle,Female,Own,Married,Close,83300,1,High,24,857,1
Middle,Female,Own,Married,Close,90500,1,High,6,269,0
Middle,Female,Own,Married,Far,87200,0,High,18,1095,1
Middle,Female,Own,Married,Close,105300,1,,24,230,1
Middle,Female,Own,Single,Far,56000,3,Medium,6,903,0
Middle,Female,Rent,Single,Close,46600,0,Medium,24,60,0
Old,Male,Rent,Married,Close,69800,0,High,24,1086,1
Middle,Male,Own,Single,Close,60300,0,High,24,1082,1
Young,Male,Rent,Married,Close,67800,0,High,12,962,0
Middle,Male,Rent,Single,Close,42300,0,Medium,24,979,0
