year,category,nominee,movie,winner,id
2010,actor in a leading role,James Franco,127 Hours,0,648
2003,actor in a supporting role,Benicio Del Toro,21 Grams,0,139
2003,actress in a leading role,Naomi Watts,21 Grams,0,1119
2001,actress in a supporting role,Jennifer Connelly,A Beautiful Mind,1,710
2001,actor in a leading role,Russell Crowe,A Beautiful Mind,0,1315
2011,actor in a leading role,Demiï¿½n Bichir,A Better Life,0,306
2005,actor in a supporting role,William Hurt,A History of Violence,0,1532
2009,actor in a leading role,Colin Firth,A Single Man,0,272
2002,actor in a leading role,Jack Nicholson,About Schmidt,0,624
2002,actress in a supporting role,Kathy Bates,About Schmidt,0,871
2002,actor in a supporting role,Chris Cooper,Adaptation,1,243
2002,actress in a supporting role,Meryl Streep,Adaptation,0,1062
2002,actor in a leading role,Nicolas Cage,Adaptation,0,1132
2011,actress in a leading role,Glenn Close,Albert Nobbs,0,511
2011,actress in a supporting role,Janet McTeer,Albert Nobbs,0,686
2001,actor in a supporting role,Jon Voight,Ali,0,798
2001,actor in a leading role,Will Smith,Ali,0,1517
2000,actress in a supporting role,Frances McDormand,Almost Famous,0,429
2000,actress in a supporting role,Kate Hudson,Almost Famous,0,848
2007,actress in a supporting role,Ruby Dee,American Gangster,0,1310
2012,actress in a leading role,Emmanuelle Riva,Amour,0,401
2009,actress in a leading role,Carey Mulligan,An Education,0,192
2010,actress in a supporting role,Jacki Weaver,Animal Kingdom,0,632
2012,actor in a supporting role,Alan Arkin,Argo,0,23
2007,actress in a supporting role,Saoirse Ronan,Atonement,0,1338
2007,actress in a leading role,Julie Christie,Away from Her,0,837
2006,actress in a supporting role,Adriana Barraza,Babel,0,3
2006,actress in a supporting role,Rinko Kikuchi,Babel,0,1253
2012,actress in a leading role,Quvenzhan_ Wallis,Beasts of the Southern Wild,0,1216
2000,actor in a leading role,Javier Bardem,Before Night Falls,0,692
2011,actor in a supporting role,Christopher Plummer,Beginners,1,250
2004,actress in a leading role,Annette Bening,Being Julia,0,86
2000,actress in a supporting role,Julie Walters,Billy Elliot,0,840
2010,actor in a leading role,Javier Bardem,Biutiful,0,694
2010,actress in a leading role,Natalie Portman,Black Swan,1,1122
2006,actor in a supporting role,Djimon Hounsou,Blood Diamond,0,333
2006,actor in a leading role,Leonardo DiCaprio,Blood Diamond,0,927
2010,actress in a leading role,Michelle Williams,Blue Valentine,0,1087
