Customer ID,Tenure,Phone Service,Contract,Paper Less Billing,Payment Method,Monthly Charges,Total Charges,Churn
7590-VHVEG,1,No,Month-to-month,Yes,Electronic check,29.85000038,29.85000038,No
5575-GNVDE,34,Yes,One year,No,Mailed check,56.95000076,1889.5,No
3668-QPYBK,2,Yes,Month-to-month,Yes,Mailed check,53.84999847,108.1500015,Yes
7795-CFOCW,45,No,One year,No,Bank transfer (automatic),42.29999924,1840.75,No
9237-HQITU,2,Yes,Month-to-month,Yes,Electronic check,70.69999695,151.6499939,Yes
9305-CDSKC,8,Yes,Month-to-month,Yes,Electronic check,99.65000153,820.5,Yes
1452-KIOVK,22,Yes,Month-to-month,Yes,Credit card (automatic),89.09999847,1949.400024,No
6713-OKOMC,10,No,Month-to-month,No,Mailed check,29.75,301.8999939,No
7892-POOKP,28,Yes,Month-to-month,Yes,Electronic check,104.8000031,3046.050049,Yes
6388-TABGU,62,Yes,One year,No,Bank transfer (automatic),56.15000153,3487.949951,No
9763-GRSKD,13,Yes,Month-to-month,Yes,Mailed check,49.95000076,587.4500122,No
7469-LKBCI,16,Yes,Two year,No,Credit card (automatic),18.95000076,326.7999878,No
8091-TTVAX,58,Yes,One year,No,Credit card (automatic),100.3499985,5681.100098,No
0280-XJGEX,49,Yes,Month-to-month,Yes,Bank transfer (automatic),103.6999969,5036.299805,Yes
5129-JLPIS,25,Yes,Month-to-month,Yes,Electronic check,105.5,2686.050049,No
3655-SNQYZ,69,Yes,Two year,No,Credit card (automatic),113.25,7895.149902,No
8191-XWSZG,52,Yes,One year,No,Mailed check,20.64999962,1022.950012,No
9959-WOFKT,71,Yes,Two year,No,Bank transfer (automatic),106.6999969,7382.25,No
4190-MFLUW,10,Yes,Month-to-month,No,Credit card (automatic),55.20000076,528.3499756,Yes
4183-MYFRB,21,Yes,Month-to-month,Yes,Electronic check,90.05000305,1862.900024,No
8779-QRDMV,1,No,Month-to-month,Yes,Electronic check,39.65000153,39.65000153,Yes
1680-VDCWW,12,Yes,One year,No,Bank transfer (automatic),19.79999924,202.25,No
1066-JKSGK,1,Yes,Month-to-month,No,Mailed check,20.14999962,20.14999962,Yes
3638-WEABW,58,Yes,Two year,Yes,Credit card (automatic),59.90000153,3505.100098,No
6322-HRPFA,49,Yes,Month-to-month,No,Credit card (automatic),59.59999847,2970.300049,No
6865-JZNKO,30,Yes,Month-to-month,Yes,Bank transfer (automatic),55.29999924,1530.599976,No
6467-CHFZW,47,Yes,Month-to-month,Yes,Electronic check,99.34999847,4749.149902,Yes
8665-UTDHZ,1,No,Month-to-month,No,Electronic check,30.20000076,30.20000076,Yes
5248-YGIJN,72,Yes,Two year,Yes,Credit card (automatic),90.25,6369.450195,No
8773-HHUOZ,17,Yes,Month-to-month,Yes,Mailed check,64.69999695,1093.099976,Yes
3841-NFECX,71,Yes,Two year,Yes,Credit card (automatic),96.34999847,6766.950195,No
4929-XIHVW,2,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.6499939,No
6827-IEAUQ,27,Yes,One year,No,Mailed check,66.15000153,1874.449951,No
7310-EGVHZ,1,Yes,Month-to-month,No,Bank transfer (automatic),20.20000076,20.20000076,No
3413-BMNZE,1,Yes,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No
6234-RAAPL,72,Yes,Two year,No,Bank transfer (automatic),99.90000153,7251.700195,No
6047-YHPVI,5,Yes,Month-to-month,Yes,Electronic check,69.69999695,316.8999939,Yes
6572-ADKRS,46,Yes,Month-to-month,Yes,Credit card (automatic),74.80000305,3548.300049,No
5380-WJKOV,34,Yes,Month-to-month,Yes,Electronic check,106.3499985,3549.25,Yes
8168-UQWWF,11,Yes,Month-to-month,Yes,Bank transfer (automatic),97.84999847,1105.400024,Yes
8865-TNMNX,10,Yes,One year,No,Mailed check,49.54999924,475.7000122,No
9489-DEDVP,70,Yes,Two year,Yes,Credit card (automatic),69.19999695,4872.350098,No
9867-JCZSP,17,Yes,One year,No,Mailed check,20.75,418.25,No
4671-VJLCL,63,Yes,Two year,Yes,Credit card (automatic),79.84999847,4861.450195,No
4080-IIARD,13,Yes,Month-to-month,Yes,Electronic check,76.19999695,981.4500122,No
3714-NTNFO,49,Yes,Month-to-month,Yes,Electronic check,84.5,3906.699951,No
5948-UJZLF,2,Yes,Month-to-month,No,Mailed check,49.25,97,No
