Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Location Type,Incident Address
32309424,12/31/2015 11:47:37 PM,01/01/16 10:17,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,62-13 62 AVENUE
32305448,12/31/2015 10:28:13 PM,01/01/16 1:38,NYPD,New York City Police Department,Vending,Store/Commercial,76 11 AVENUE
32305102,12/31/2015 09:41:42 PM,01/01/16 2:09,NYPD,New York City Police Department,Traffic,Street/Sidewalk,
32308293,12/31/2015 09:18:10 PM,01/01/16 2:56,NYPD,New York City Police Department,Vending,Store/Commercial,66 11 AVENUE
32306497,12/31/2015 09:07:59 PM,01/01/16 1:05,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,2045 EAST 59 STREET
32310158,12/31/2015 08:11:48 PM,12/31/2015 08:58:25 PM,NYPD,New York City Police Department,Drinking,Store/Commercial,134 ASHFORD STREET
32305124,12/31/2015 06:29:37 PM,12/31/2015 07:51:30 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,1288 MYRTLE AVENUE
32308002,12/31/2015 06:29:20 PM,12/31/2015 10:37:19 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,1188 44 STREET
32305798,12/31/2015 05:13:30 PM,12/31/2015 05:58:42 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,64 NOEL AVENUE
32310195,12/31/2015 05:08:19 PM,12/31/2015 07:08:10 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,GRAVETT ROAD
32308647,12/31/2015 04:50:18 PM,12/31/2015 07:14:31 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,40-24 COLLEGE POINT BOULEVARD
32307229,12/31/2015 04:50:02 PM,12/31/2015 08:24:30 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,
32310281,12/31/2015 04:44:36 PM,12/31/2015 10:57:41 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,2868 SAMPSON AVENUE
32305131,12/31/2015 04:34:05 PM,12/31/2015 07:21:51 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,127 PARK DRIVE NORTH
32308111,12/31/2015 04:27:31 PM,12/31/2015 05:40:44 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,1725 SCHENECTADY AVENUE
32306478,12/31/2015 04:13:48 PM,12/31/2015 04:52:00 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,436 CLASSON AVENUE
32308639,12/31/2015 04:09:28 PM,12/31/2015 04:52:00 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,436 CLASSON AVENUE
32305876,12/31/2015 04:09:25 PM,12/31/2015 06:37:24 PM,NYPD,New York City Police Department,Traffic,Street/Sidewalk,1470 OCEAN PARKWAY
32306172,12/31/2015 04:08:01 PM,12/31/2015 10:26:41 PM,NYPD,New York City Police Department,Vending,Store/Commercial,66 3 AVENUE
32305902,12/31/2015 03:37:22 PM,12/31/2015 04:44:32 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,3021 AVENUE Z
32305137,12/31/2015 03:32:10 PM,12/31/2015 04:29:23 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,
32310148,12/31/2015 03:28:45 PM,01/01/16 1:38,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,
32308342,12/31/2015 03:24:22 PM,12/31/2015 05:29:13 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,260 WYCKOFF AVENUE
32309060,12/31/2015 02:48:41 PM,12/31/2015 03:20:35 PM,NYPD,New York City Police Department,Vending,Street/Sidewalk,
32306495,12/31/2015 02:34:33 PM,12/31/2015 05:45:00 PM,NYPD,New York City Police Department,Derelict Vehicle,Street/Sidewalk,95-09 103 AVENUE
