Date,adaniports,asianpaints,axisbank,cipla,tcs
01/01/08,1296.85,1123.19,972.55,211.1,1054.55
02/01/08,1307.45,1135.45,1034.65,218.85,1050
03/01/08,1275.8,1133.9,1035.85,216.35,1011.05
04/01/08,1240.35,1150.08,1054.9,213.65,1005.2
07/01/08,1227.25,1182.62,1090.15,212.65,975.6
08/01/08,1204.8,1215.49,1065.75,209.9,987.85
09/01/08,1180.25,1221.97,1095.6,209.45,996.3
10/01/08,1121.55,1180.13,1089.15,202.8,981.65
11/01/08,1085.85,1146.99,1169.75,205.45,989.75
14/01/08,1035.15,1127.94,1268.15,205.25,961.15
15/01/08,1049.55,1101.21,1196.55,204.95,940
16/01/08,1030.4,1095.68,1156.7,205.95,944.95
17/01/08,1020.9,1075.01,1162.05,209.9,922.7
18/01/08,994.6,1054.91,1116.15,202.6,903.2
21/01/08,825.05,1048.09,1060.65,190.1,831.05
22/01/08,735.55,1006.47,974.6,176.85,798.25
23/01/08,857,1039.85,1015.7,182.15,871.95
24/01/08,814.15,1040.85,1002.2,172.4,843.25
25/01/08,865.7,1053.11,1097.75,183.35,884.6
28/01/08,820.8,1104.84,1141.45,184.65,854.3
29/01/08,840.75,1098.78,1146.2,191.75,867.7
30/01/08,830.45,1142.85,1105.45,189.2,869.85
31/01/08,837.65,1244.47,1120.8,189.25,873.75
01/02/08,825.35,1175.21,1085.15,196.4,929.5
04/02/08,856.1,1190.27,1088.95,199.4,975.65
05/02/08,834.3,1209.44,1059.7,203.5,955.05
06/02/08,807.5,1191.13,1084.65,202.2,906.1
07/02/08,796.25,1162.32,1034.7,194.65,879.05
08/02/08,784.05,1168.06,983.65,194.65,898.4
11/02/08,711.2,1149.52,930.75,185.8,906.1
12/02/08,681.3,1147.27,990.6,186.55,864.65
13/02/08,670.95,1149.28,967,179.4,868.95
14/02/08,709.8,1156.71,993.2,180.15,873.8
15/02/08,728.75,1158.66,1029.4,184.15,872.7
18/02/08,771.6,1152.94,1050.9,184.8,853.2
19/02/08,763.9,1137.61,1038.15,188.35,875.45
20/02/08,732.1,1107.4,1006.1,185.35,886.1
21/02/08,737.6,1063.1,1000.7,188.75,914.65
22/02/08,724,1089.77,971,198.8,900.55
25/02/08,707.65,1115.55,956.8,202.35,900.75
26/02/08,735.8,1131.02,960.8,201.6,898.4
27/02/08,746.4,1181.15,992.85,202.2,877.55
28/02/08,737.75,1150.61,1009.55,206.8,880.9
29/02/08,735.65,1121.92,1022.55,207.1,877.4
03/03/08,699.25,1149.14,939.45,211.65,848.6
04/03/08,669.25,1144.72,910.9,200.25,858.8
05/03/08,640.9,1151.87,896.6,205.6,875.3
07/03/08,609.75,1126.22,840.85,200.95,846.15
10/03/08,601.15,1139.29,806.7,200.55,833.65
11/03/08,623.7,1173.29,836.15,195.6,823.5
12/03/08,602.9,1164.14,864,204.9,823.55
13/03/08,566.3,1129.18,806.6,201,779.7
14/03/08,561,1137.32,860.35,205.6,803.85
17/03/08,511.45,1112.56,793.8,200.45,791.85
18/03/08,502.4,1117.39,782.55,204.55,817.7
19/03/08,497.75,1174.85,753.35,206.3,811.45
24/03/08,469.2,1158.83,724.95,206.3,823.7
25/03/08,497.15,1157.34,790.95,209.6,876.5
26/03/08,504.05,1155.19,828.8,205.5,878.35
27/03/08,516,1165.96,792.45,212.75,852.5
28/03/08,619.2,1175.91,807.2,217.65,871.05
31/03/08,578.75,1196.92,789.85,220,810.45
