MEMBERSHIP_NUMBER,MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,AGENT_CODE,MEMBERSHIP_STATUS,START_DATE (YYYYMMDD),END_DATE  (YYYYMMDD)
A00001,29,113125,M,M,25200000,1,TYPE-B,45,2,ANNUAL,477,INFORCE,20060914,
A00002,38,112220,M,M,10339200,1,TYPE-B,36,3,QUARTERLY,255,INFORCE,20061102,
A00003,12,100000,M,M,14400000,1,TYPE-B,42,1,ANNUAL,7866,INFORCE,20070124,
A00004,12,100000,M,M,9000000,1,TYPE-B,39,2,ANNUAL,200533,INFORCE,20070122,
A00005,46,100000,M,M,4800000,1,TYPE-B,27,2,QUARTERLY,6988,INFORCE,20070131,
A00006,12,110000,,,,1,TYPE-B,48,3,ANNUAL,5311,INFORCE,20070215,
A00007,36,100000,M,M,24000000,1,TYPE-B,39,2,ANNUAL,4055,INFORCE,20070221,
A00008,12,120000,M,M,3600000,1,TYPE-B,28,1,QUARTERLY,13100,CANCELLED,20070312,20090811
A00009,35,120000,,,,1,TYPE-B,35,2,MONTHLY,4522,INFORCE,20070316,
A00010,33,102700,M,M,14400000,1,TYPE-B,42,2,SEMI-ANNUAL,11266,INFORCE,20070330,
A00011,12,1000000,M,M,5047008,1,TYPE-B,38,3,ANNUAL,11933,INFORCE,20070330,
A00012,39,100000,M,M,3600000,1,TYPE-B,35,3,ANNUAL,9499,INFORCE,20070330,
A00013,12,100000,,,,1,TYPE-B,42,3,QUARTERLY,13900,CANCELLED,20070328,20070827
A00014,36,101350,M,M,21600000,1,TYPE-B,38,3,ANNUAL,344,INFORCE,20070330,
A00015,12,100000,M,M,8400000,1,TYPE-B,39,3,QUARTERLY,12199,INFORCE,20070330,
A00016,12,600000,M,M,1740000,1,TYPE-B,36,1,ANNUAL,11933,INFORCE,20070330,
A00017,12,200000,M,M,24000000,1,TYPE-B,39,2,QUARTERLY,1422,INFORCE,20070424,
A00018,12,200000,S,M,2520000,1,TYPE-B,35,0,QUARTERLY,11855,CANCELLED,20070425,20080624
A00019,12,200000,M,M,8880000,1,TYPE-B,29,3,ANNUAL,12344,CANCELLED,20070605,20080804
A00020,12,100000.8,S,M,5040000,1,TYPE-B,28,0,MONTHLY,355,CANCELLED,20070507,20070905
A00021,12,150000,S,M,600000,1,TYPE-B,27,0,ANNUAL,5766,INFORCE,20070521,
A00022,12,100000,S,M,200004,1,TYPE-B,25,0,ANNUAL,2344,INFORCE,20070530,
A00023,37,100000,M,M,720000,1,TYPE-B,38,2,ANNUAL,7555,INFORCE,20070615,
A00024,12,100000,M,F,135096,1,TYPE-B,39,1,ANNUAL,11544,INFORCE,20070625,
A00025,12,125000,M,M,480000,1,TYPE-B,29,2,ANNUAL,27288,INFORCE,20070627,
A00026,12,100000,M,M,399996,1,TYPE-B,22,3,SEMI-ANNUAL,23766,INFORCE,20070629,
A00027,12,200000,S,M,200004,1,TYPE-B,22,0,SEMI-ANNUAL,30522,INFORCE,20070718,
A00028,12,100000,M,M,360000,1,TYPE-B,59,3,SEMI-ANNUAL,7999,INFORCE,20070709,
A00029,12,100000,,,,1,TYPE-B,56,0,ANNUAL,5311,INFORCE,20070629,
A00030,12,100000,S,M,1700004,1,TYPE-B,25,0,QUARTERLY,10966,CANCELLED,20070709,20071208
A00031,12,100000,M,M,245004,1,TYPE-B,44,1,QUARTERLY,26055,INFORCE,20070629,
A00032,12,200000,M,M,1624080,1,TYPE-B,45,3,SEMI-ANNUAL,30455,CANCELLED,20070731,20090319
A00033,12,500000,M,M,1500000,1,TYPE-B,46,3,ANNUAL,37900,INFORCE,20070824,
A00034,12,100000,M,M,1500000,1,TYPE-B,46,3,ANNUAL,37900,INFORCE,20070824,
A00035,12,100000,S,M,249996,1,TYPE-B,28,0,SEMI-ANNUAL,41000,CANCELLED,20070831,20081027
A00036,47,100000,S,M,350004,1,TYPE-B,26,0,QUARTERLY,51322,CANCELLED,20070917,20080816
A00037,64,100000.02,,,,1,TYPE-B,44,0,ANNUAL,32477,INFORCE,20070831,
A00038,37,100000,,,,1,TYPE-B,44,3,ANNUAL,32488,INFORCE,20070831,
A00039,12,100000,M,M,200004,1,TYPE-B,34,3,ANNUAL,53777,INFORCE,20070823,
A00040,17,201049.33,,,,1,TYPE-A,60,0,ANNUAL,200533,INFORCE,20070831,
A00041,12,500004.96,M,M,399996,1,TYPE-B,29,2,MONTHLY,200533,INFORCE,20070911,
A00042,32,100000,S,M,1800000,1,TYPE-B,42,0,SEMI-ANNUAL,7377,INFORCE,20071004,
A00043,12,100000,M,F,,4,TYPE-B,28,3,ANNUAL,16844,INFORCE,20070919,
A00044,12,271007.1,M,M,12000000,1,TYPE-A,51,3,ANNUAL,32477,CANCELLED,20070927,20101027
A00045,53,199999.99,,,,1,TYPE-B,44,0,ANNUAL,11266,CANCELLED,20070928,20081127
A00046,12,100000,M,M,600000,1,TYPE-B,28,3,SEMI-ANNUAL,44511,CANCELLED,20071031,20080627
A00047,17,249995.88,M,M,357000,1,TYPE-B,30,2,MONTHLY,30066,CANCELLED,20070928,20090827
A00048,17,100000,M,M,243828,1,TYPE-B,35,2,ANNUAL,85711,INFORCE,20071009,
A00049,17,100000,M,M,350004,1,TYPE-B,35,2,SEMI-ANNUAL,67933,INFORCE,20070928,
A00050,12,100000,M,M,399996,1,TYPE-B,33,1,ANNUAL,63288,INFORCE,20071005,
A00051,12,150000,M,M,1083324,1,TYPE-B,47,3,ANNUAL,47399,INFORCE,20070928,
A00052,17,100000,S,M,1800000,1,TYPE-B,42,0,SEMI-ANNUAL,7377,INFORCE,20071004,
A00053,37,100000,M,M,999996,1,TYPE-B,38,3,SEMI-ANNUAL,30244,CANCELLED,20071009,20110608
A00054,12,100000,,,,1,TYPE-B,36,2,ANNUAL,39011,INFORCE,20070928,
A00055,12,200000,S,M,804000,1,TYPE-B,28,0,ANNUAL,29955,INFORCE,20070928,
