amount,grade,years,ownership,income,age
1000,B,2,RENT,19200,24
6500,A,2,MORTGAGE,66000,28
2400,A,2,RENT,60000,36
10000,C,3,RENT,62000,24
4000,C,2,RENT,20000,28
5000,A,2,RENT,12000,27
6000,C,1,RENT,48000,23
5000,D,2,RENT,40000,21
4200,A,6,RENT,60000,29
12000,A,4,MORTGAGE,85000,22
3600,A,3,RENT,70000,27
6000,B,1,RENT,72000,25
4000,A,2,RENT,54000,27
13000,C,2,MORTGAGE,65000,22
1500,A,3,RENT,45000,24
4800,D,2,RENT,75000,24
1200,C,0,RENT,4800,22
7000,A,0,RENT,75800,23
12000,C,3,MORTGAGE,40000,23
10000,D,2,RENT,90000,21
2475,A,16,MORTGAGE,63600,23
7000,C,0,RENT,54000,28
10000,D,1,RENT,72000,38
7200,D,1,OWN,42996,25
7600,C,1,RENT,67680,25
1800,A,12,RENT,35000,29
7200,B,1,MORTGAGE,73200,32
2600,B,2,RENT,40792,35
7000,B,0,MORTGAGE,85000,23
12000,B,11,MORTGAGE,136000,32
7875,B,15,MORTGAGE,55500,36
6000,A,0,RENT,26400,22
4000,D,6,MORTGAGE,45000,31
6250,A,3,RENT,54000,23
10000,A,0,RENT,46200,22
4000,C,0,RENT,90000,28
17000,B,1,MORTGAGE,65000,26
12000,A,1,RENT,60000,30
3500,A,1,RENT,70000,23
18000,E,,OWN,72000,25
16750,C,18,RENT,60000,23
25000,D,3,MORTGAGE,116736,23
2000,B,0,RENT,24432,22
2100,D,0,RENT,14400,33
4000,A,,RENT,40000,25
13500,B,0,MORTGAGE,48526.8,22
6500,D,4,RENT,36000,30
9250,A,0,MORTGAGE,45896,25
11000,A,4,RENT,46000,22
7200,B,1,RENT,48000,30
3200,A,0,RENT,12000,24
8000,C,8,RENT,70000,26
1800,B,,RENT,14400,41
3600,A,12,MORTGAGE,93000,22
5000,B,3,RENT,65004,22
6950,A,11,MORTGAGE,30000,22
7500,B,2,MORTGAGE,81000,33
12000,D,2,RENT,27000,47
18000,A,7,MORTGAGE,90000,29
5000,B,3,RENT,40040,27
10000,C,34,OWN,75000,30
7500,C,7,RENT,55000,28
2000,D,1,RENT,30972,24
1000,C,2,RENT,7000,24
8000,B,1,RENT,33996,22
7750,E,2,RENT,26000,21
6000,A,0,RENT,48000,30
5000,B,1,MORTGAGE,51600,23
5000,A,2,RENT,58979.28,26
10000,C,11,MORTGAGE,153000,33
3500,D,2,MORTGAGE,24000,25
9000,A,9,RENT,42140,21
9000,B,1,RENT,51000,37
14000,A,14,MORTGAGE,116000,28
10500,B,6,RENT,38400,33
11200,C,5,MORTGAGE,33280,21
12000,D,2,MORTGAGE,72000,26
12500,A,3,MORTGAGE,32500,25
8000,B,3,RENT,14400,22
25000,B,12,MORTGAGE,616000,28
10000,B,10,MORTGAGE,32004,22
14000,B,8,RENT,35000,28
12000,B,2,RENT,47700,31
5400,D,1,RENT,32000,22
5900,A,1,OWN,15600,33
1100,C,5,MORTGAGE,36000,30
2000,B,2,RENT,10000,24
12000,A,6,RENT,48672,23
15000,B,4,RENT,84000,26
5000,A,11,OWN,85800,34
10000,C,3,RENT,62000,24
6000,B,1,MORTGAGE,34980,25
5000,B,8,MORTGAGE,80000,46
12000,B,1,OWN,61000,23
3500,B,9,RENT,51996,24
6000,A,8,MORTGAGE,92004,25
5600,A,20,RENT,55692,21
5000,D,7,RENT,40000,35
13375,A,1,MORTGAGE,59000,22
25000,A,18,RENT,65800,31
20000,B,7,MORTGAGE,120000,29
15000,A,4,RENT,74872,29
2000,B,26,MORTGAGE,52645,25
6000,A,3,RENT,39184,28
5400,C,20,MORTGAGE,100000,23
9000,C,5,MORTGAGE,69000,28
10000,B,5,RENT,60000,24
10000,D,4,RENT,34000,28
7000,D,4,RENT,72700,25
9600,B,10,RENT,94837,24
25000,B,2,MORTGAGE,250000,26
20000,D,3,RENT,62000,24
9000,C,7,MORTGAGE,50000,21
22000,F,2,MORTGAGE,93600,25
5775,A,1,RENT,36900,23
13500,B,9,MORTGAGE,78000,24
2000,B,1,RENT,48000,24
14400,C,1,RENT,80000,23
14000,B,0,RENT,37000,26
7000,D,5,RENT,35000,21
5000,A,3,OWN,32500,27
12000,A,19,MORTGAGE,145000,22
3800,C,3,MORTGAGE,68500,32
12000,B,5,MORTGAGE,108000,32
10000,A,3,MORTGAGE,62000,33
5000,C,6,RENT,41000,21
6000,A,2,MORTGAGE,47000,27
4600,D,5,RENT,58000,23
2000,A,24,RENT,24000,41
14100,A,6,RENT,83203.68,30
6200,D,61,MORTGAGE,75000,26
5000,D,3,MORTGAGE,165000,30
2100,A,6,MORTGAGE,61000,22
13200,D,,MORTGAGE,49800,30
25000,G,12,RENT,203000,29
10000,C,0,RENT,30000,27
25000,B,3,RENT,72000,26
10500,B,6,MORTGAGE,63400,22
6000,A,27,RENT,55000,26
6000,C,7,RENT,21812,25
1000,C,4,RENT,60000,55
25000,D,21,MORTGAGE,180000,24
9450,D,16,RENT,29000,32
11000,A,7,MORTGAGE,59000,37
15000,B,3,RENT,73500,23
15000,A,9,MORTGAGE,175000,44
6500,B,,MORTGAGE,85000,34
16800,D,6,RENT,75000,22
7750,A,15,MORTGAGE,65000,31
4000,B,2,RENT,29120,27
2300,B,0,RENT,25920,25
10000,A,9,MORTGAGE,60000,24
11200,D,11,OWN,51300,22
2500,B,5,RENT,45000,25
11000,D,3,RENT,47500,28
9600,B,4,MORTGAGE,80004,41
4800,C,7,RENT,38400,22
13000,A,3,RENT,54000,22
10800,B,4,RENT,82600,27
4600,D,3,RENT,58800,26
12000,C,0,MORTGAGE,35280,22
17800,E,1,RENT,85000,23
20000,C,13,MORTGAGE,50000,25
10000,A,2,MORTGAGE,105000,34
6300,C,6,MORTGAGE,60000,24
10000,D,3,RENT,75000,25
4200,B,1,RENT,42499,25
10000,D,2,RENT,48000,25
12000,D,4,RENT,30000,30
10800,A,21,MORTGAGE,110000,24
6000,C,19,MORTGAGE,72000,24
12000,E,3,RENT,125004,33
5650,D,0,OWN,20000,25
8000,C,3,MORTGAGE,38213,22
1000,D,11,MORTGAGE,32000,27
8000,A,4,RENT,54996,30
7000,B,3,RENT,45000,34
12000,B,7,MORTGAGE,26000,28
9500,B,1,MORTGAGE,38400,35
14000,B,0,MORTGAGE,75000,30
24000,E,2,MORTGAGE,79996,23
4000,A,5,RENT,70000,21
19975,C,9,RENT,125000,28
24000,B,30,MORTGAGE,160000,61
23500,D,,MORTGAGE,64800,22
15000,C,10,RENT,34800,22
5000,C,6,RENT,45600,25
5000,A,3,RENT,24000,25
10400,B,5,OWN,45000,25
3000,C,,RENT,38400,30
7500,C,3,MORTGAGE,90000,34
2400,D,2,RENT,13440,36
9000,C,4,OWN,81000,27
24000,F,13,MORTGAGE,105900,31
4000,C,0,RENT,34200,32
10000,B,0,RENT,38000,27
1600,G,4,RENT,42000,29
6000,A,4,MORTGAGE,112445,32
9000,C,2,RENT,18500,23
12000,B,2,RENT,33600,21
8000,A,4,RENT,72000,49
8000,D,2,RENT,42000,24
1800,C,3,RENT,36129,34
4500,C,15,RENT,55000,28
12250,B,4,MORTGAGE,47540,22
1500,A,1,MORTGAGE,60000,24
7000,B,12,RENT,50000,24
8000,A,7,RENT,48000,41
